,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
652,Rose O'Brian,4,79,112683.24,85.31,85.99,86.68,5.76,Top Customer
653,Ross Baird,30,77,102700.06,27.39,81.78,80.28,1.85,Low value Customer
654,Ross DeVincentis,14,70,57172.99,56.77,67.71,28.64,3.83,Medium value Customer
655,Roy Collins,118,45,38989.5,1.03,7.1,7.54,0.07,Very low value Customer
656,Roy Französisch,6,77,89463.61,77.04,81.78,69.6,5.2,High value Customer
657,Roy Phan,21,72,58807.25,42.66,71.48,30.78,2.88,Medium value Customer
658,Roy Skaria,19,56,38834.03,47.15,27.83,7.29,3.18,Medium value Customer
659,Ruben Ausman,43,75,68475.51,14.56,77.39,45.48,0.98,Very low value Customer
660,Ruben Dartt,32,86,89548.23,26.23,94.6,69.72,1.77,Low value Customer
661,Russell Applegate,12,76,96739.38,62.41,79.27,75.5,4.21,Medium value Customer
662,Russell D'Ascenzo,28,71,79749.49,30.6,69.54,60.8,2.07,Low value Customer
663,Ryan Akin,1,55,58294.03,95.06,24.56,29.65,6.42,Top Customer
664,Ryan Crowe,22,50,35997.79,40.09,14.64,4.4,2.71,Medium value Customer
665,Sally Hughsby,25,77,117497.15,36.56,81.78,88.82,2.47,Low value Customer
666,Sally Knutson,8,62,62510.28,69.85,44.16,35.8,4.72,High value Customer
667,Sally Matthias,104,54,58614.67,1.86,21.8,30.28,0.13,Very low value Customer
668,Sam Craven,8,69,51750.76,69.85,65.45,21.23,4.72,High value Customer
669,Sam Zeldin,13,77,79247.12,59.4,81.78,60.18,4.01,Medium value Customer
670,Sample Company A,40,83,77163.83,17.83,90.64,57.91,1.2,Very low value Customer
671,Sandra Flanagan,58,51,56104.25,6.67,16.65,26.38,0.45,Very low value Customer
672,Sandra Glassco,3,50,46151.8,86.79,14.64,14.57,5.86,Top Customer
673,Sanjit Chand,75,69,123566.9,4.81,65.45,91.58,0.32,Very low value Customer
674,Sanjit Engle,9,82,129505.67,66.65,88.88,93.59,4.5,High value Customer
675,Sanjit Jacobs,32,79,61319.28,26.23,85.99,34.05,1.77,Low value Customer
676,Saphhira Shifley,15,84,145192.95,53.82,92.27,96.11,3.63,Medium value Customer
677,Sara Luxemburg,29,82,78431.49,28.74,88.88,59.17,1.94,Low value Customer
678,Sarah Bern,2,50,73382.02,89.67,14.64,52.51,6.05,Top Customer
679,Sarah Brown,74,71,116639.1,5.26,69.54,88.32,0.36,Very low value Customer
680,Sarah Foster,5,72,88188.05,81.65,71.48,68.34,5.51,Top Customer
681,Sarah Jordon,28,79,77241.48,30.6,85.99,58.17,2.07,Low value Customer
682,Scot Coram,16,64,132936.51,50.99,50.19,93.97,3.44,Medium value Customer
683,Scot Wooten,12,56,71457.72,62.41,27.83,48.87,4.21,Medium value Customer
684,Scott Cohen,0,74,57940.53,100.0,75.38,29.4,6.75,Top Customer
685,Scott Williamson,21,68,84313.82,42.66,62.19,65.33,2.88,Medium value Customer
686,Sean Braxton,41,52,104777.73,16.61,18.09,82.04,1.12,Very low value Customer
687,Sean Christensen,16,76,141878.67,50.99,79.27,95.48,3.44,Medium value Customer
688,Sean Miller,21,50,195868.16,42.66,14.64,99.62,2.88,Medium value Customer
689,Sean O'Donnell,29,60,72334.96,28.74,38.69,50.0,1.94,Low value Customer
690,Sean Wendt,12,46,36103.81,62.41,8.17,4.52,4.21,Medium value Customer
691,Seth Vernon,87,85,133572.43,3.34,93.53,94.1,0.23,Very low value Customer
692,Shahid Collister,30,85,85109.15,27.39,93.53,66.08,1.85,Low value Customer
693,Shahid Hopkins,23,68,58819.3,38.23,62.19,30.9,2.58,Medium value Customer
694,Shahid Shariari,26,67,107960.98,34.77,58.67,84.3,2.35,Low value Customer
695,Sharelle Roach,8,52,59529.01,69.85,18.09,32.16,4.72,High value Customer
696,Shaun Chance,9,56,34612.91,66.65,27.83,3.89,4.5,High value Customer
697,Shaun Weien,7,42,22893.99,73.44,3.83,0.75,4.96,High value Customer
698,Sheri Gordon,90,59,63538.98,3.08,36.31,37.94,0.21,Very low value Customer
699,Shirley Daniels,15,85,66428.45,53.82,93.53,42.21,3.63,Medium value Customer
700,Shirley Jackson,175,52,68369.15,0.38,18.09,45.1,0.03,Very low value Customer
701,Shirley Schmidt,0,36,39117.69,100.0,1.44,7.91,6.75,Top Customer
702,Shui Tom,6,65,80344.93,77.04,52.95,60.93,5.2,High value Customer
703,Sibella Parks,16,36,38182.24,50.99,1.44,6.66,3.44,Medium value Customer
704,Skye Norling,13,67,76627.19,59.4,58.67,57.29,4.01,Medium value Customer
705,Sonia Cooley,27,57,46409.67,32.78,30.59,14.82,2.21,Low value Customer
706,Sonia Sunley,5,61,64476.73,81.65,41.33,38.94,5.51,Top Customer
707,Speros Goranitis,75,66,68690.39,4.81,55.53,45.73,0.32,Very low value Customer
708,Stefania Perrino,5,78,104697.66,81.65,84.17,81.66,5.51,Top Customer
709,Stefanie Holloman,30,55,70717.78,27.39,24.56,47.99,1.85,Low value Customer
710,Stephanie Phelps,20,46,52352.91,45.09,8.17,21.61,3.04,Medium value Customer
711,Stephanie Ulpright,4,72,47964.8,85.31,71.48,16.46,5.76,Top Customer
712,Steve Carroll,21,71,90889.56,42.66,69.54,70.85,2.88,Medium value Customer
713,Steve Chapman,9,74,105251.2,66.65,75.38,82.41,4.5,High value Customer
714,Steve Nguyen,44,61,61385.15,13.66,41.33,34.17,0.92,Very low value Customer
715,Steven Cartwright,7,73,99157.66,73.44,73.3,77.89,4.96,High value Customer
716,Steven Roelle,21,64,83681.42,42.66,50.19,63.82,2.88,Medium value Customer
717,Steven Ward,15,106,124771.88,53.82,99.87,92.34,3.63,Medium value Customer
718,Stewart Carmichael,40,83,75340.5,17.83,90.64,54.77,1.2,Very low value Customer
719,Stewart Visinsky,21,75,97360.39,42.66,77.39,76.13,2.88,Medium value Customer
720,Stuart Calhoun,30,45,68745.56,27.39,7.1,45.98,1.85,Low value Customer
721,Stuart Van,8,62,124479.61,69.85,44.16,92.21,4.72,High value Customer
722,Sue Ann Reed,10,64,76543.76,65.49,50.19,57.04,4.42,Medium value Customer
723,Sung Chung,8,46,50677.31,69.85,8.17,19.6,4.72,High value Customer
724,Sung Pak,54,52,68457.71,8.66,18.09,45.35,0.58,Very low value Customer
725,Sung Shariari,14,43,25061.15,56.77,4.96,1.26,3.83,Medium value Customer
726,Susan Gilcrest,16,58,56708.19,50.99,33.61,27.76,3.44,Medium value Customer
727,Susan MacKendrick,37,41,31455.7,19.69,3.14,2.64,1.33,Very low value Customer
728,Susan Pistek,6,68,149420.22,77.04,62.19,96.86,5.2,High value Customer
729,Susan Vittorini,0,67,70296.0,100.0,58.67,47.36,6.75,Top Customer
730,Suzanne McNair,25,64,58454.65,36.56,50.19,29.77,2.47,Low value Customer
731,Sylvia Foulston,48,47,37855.68,11.8,9.36,6.28,0.8,Very low value Customer
732,Tamara Chand,27,88,173255.82,32.78,96.36,98.87,2.21,Low value Customer
733,Tamara Dahlen,0,58,33056.18,100.0,33.61,3.27,6.75,Top Customer
734,Tamara Manning,64,55,88856.54,6.09,24.56,68.97,0.41,Very low value Customer
735,Tamara Willingham,19,59,84035.81,47.15,36.31,64.7,3.18,Medium value Customer
736,Tanja Norvell,22,53,39116.96,40.09,19.79,7.79,2.71,Medium value Customer
737,Ted Butterfield,35,76,89704.55,22.19,79.27,69.97,1.5,Very low value Customer
738,Ted Trevino,14,64,83838.06,56.77,50.19,64.32,3.83,Medium value Customer
739,Thais Sissman,41,60,25938.13,16.61,38.69,1.76,1.12,Very low value Customer
740,Thea Hendricks,6,59,63237.25,77.04,36.31,37.44,5.2,High value Customer
741,Thea Hudgings,43,64,62987.82,14.56,50.19,36.81,0.98,Very low value Customer
742,Theone Pippenger,2,88,109444.47,89.67,96.36,85.05,6.05,Top Customer
743,Theresa Coyne,11,84,118392.02,64.79,92.27,88.94,4.37,Medium value Customer
744,Theresa Swint,8,63,33657.57,69.85,47.17,3.64,4.72,High value Customer
745,Thomas Boland,39,69,93400.78,18.79,65.45,73.49,1.27,Very low value Customer
746,Thomas Brumley,49,38,56516.14,10.78,2.01,27.26,0.73,Very low value Customer
747,Thomas Seio,26,68,63315.69,34.77,62.19,37.56,2.35,Low value Customer
748,Thomas Thornton,5,63,78580.91,81.65,47.17,59.42,5.51,Top Customer
749,Tiffany House,8,67,80529.2,69.85,58.67,61.31,4.72,High value Customer
750,Tim Brockman,1,89,85464.29,95.06,96.8,66.33,6.42,Top Customer
751,Tim Taslimi,1,55,36367.52,95.06,24.56,4.9,6.42,Top Customer
752,Toby Braunhardt,57,67,45261.83,7.31,58.67,13.44,0.49,Very low value Customer
753,Toby Carlisle,12,67,92463.68,62.41,58.67,72.86,4.21,Medium value Customer
754,Toby Gnade,14,63,46586.83,56.77,47.17,15.08,3.83,Medium value Customer
755,Toby Ritter,1,65,46816.64,95.06,52.95,15.45,6.42,Top Customer
756,Toby Swindell,8,76,76662.01,69.85,79.27,57.54,4.72,High value Customer
757,Todd Boyes,14,67,45179.16,56.77,58.67,13.32,3.83,Medium value Customer
758,Todd Sumrall,18,75,103797.59,48.88,77.39,81.28,3.3,Medium value Customer
759,Tom Ashbrook,8,80,226419.34,69.85,87.06,100.0,4.72,High value Customer
760,Tom Boeckenhauer,25,93,95802.57,36.56,97.93,74.87,2.47,Low value Customer
761,Tom Prescott,48,50,74076.84,11.8,14.64,53.14,0.8,Very low value Customer
762,Tom Stivers,19,69,72880.03,47.15,65.45,51.51,3.18,Medium value Customer
763,Tom Zandusky,8,73,52870.95,69.85,73.3,22.74,4.72,High value Customer
764,Tonja Turnell,12,84,98243.13,62.41,92.27,76.76,4.21,Medium value Customer
765,Tony Chapman,1,67,49708.76,95.06,58.67,18.47,6.42,Top Customer
766,Tony Molinari,40,80,59109.13,17.83,87.06,31.66,1.2,Very low value Customer
767,Tony Sayre,11,66,88922.15,64.79,55.53,69.22,4.37,Medium value Customer
768,Tracy Blumstein,18,91,93357.85,48.88,97.3,73.37,3.3,Medium value Customer
769,Tracy Collins,0,55,43158.5,100.0,24.56,11.56,6.75,Top Customer
770,Tracy Hopkins,5,55,67091.26,81.65,24.56,43.22,5.51,Top Customer
771,Tracy Poddar,14,68,54512.14,56.77,62.19,24.87,3.83,Medium value Customer
772,Tracy Zic,35,48,48203.28,22.19,10.93,16.83,1.5,Very low value Customer
773,Troy Blackwell,28,46,46284.94,30.6,8.17,14.7,2.07,Low value Customer
774,Troy Staebel,20,83,99411.97,45.09,90.64,78.02,3.04,Medium value Customer
775,Trudy Brown,30,69,67622.13,27.39,65.45,44.1,1.85,Low value Customer
776,Trudy Glocke,5,75,104338.98,81.65,77.39,81.53,5.51,Top Customer
777,Trudy Schmidt,84,56,45013.28,3.59,27.83,12.94,0.24,Very low value Customer
778,Valerie Dominguez,0,67,76648.63,100.0,58.67,57.41,6.75,Top Customer
779,Valerie Mitchum,13,68,88089.59,59.4,62.19,68.09,4.01,Medium value Customer
780,Valerie Takahito,7,72,90465.98,73.44,71.48,70.48,4.96,High value Customer
781,Vicky Freymann,13,49,68445.56,59.4,12.63,45.23,4.01,Medium value Customer
782,Victor Preis,28,58,56521.76,30.6,33.61,27.39,2.07,Low value Customer
783,Victoria Brennan,4,45,59064.12,85.31,7.1,31.41,5.76,Top Customer
784,Victoria Pisteka,75,60,82584.43,4.81,38.69,62.94,0.32,Very low value Customer
785,Victoria Wilson,6,66,84436.69,77.04,55.53,65.45,5.2,High value Customer
786,Vivek Gonzalez,110,50,46030.0,1.54,14.64,14.32,0.1,Very low value Customer
787,Vivek Grady,2,61,159085.52,89.67,41.33,97.74,6.05,Top Customer
788,Vivek Sundaresam,22,40,50235.56,40.09,2.76,18.97,2.71,Medium value Customer
789,Vivian Mathis,8,36,22418.83,69.85,1.44,0.5,4.72,High value Customer
790,William Brown,20,84,75576.78,45.09,92.27,55.15,3.04,Medium value Customer
791,Xylona Preis,43,61,70356.18,14.56,41.33,47.61,0.98,Very low value Customer
792,Yana Sorensen,4,62,101036.85,85.31,44.16,79.27,5.76,Top Customer
793,Yoseph Carroll,4,56,103383.05,85.31,27.83,81.03,5.76,Top Customer
794,Zuschuss Carroll,3,85,155694.72,86.79,93.53,97.61,5.86,Top Customer
795,Zuschuss Donatelli,1,54,43058.36,95.06,21.8,11.43,6.42,Top Customer
